                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6462,                 3.2088,                 1.5686,                0.15905,                0.05556,                0.06003,                  0.006,                 4.7135,                 3.2349,                 3.1995,                0.00014,                0.00014,                0.00014
                      2,                 2.5128,                 1.4729,                 1.1868,                0.83791,                0.72222,                 0.7129,                0.30679,                 2.4319,                 2.4742,                 1.2388,             0.00028515,             0.00028515,             0.00028515
                      3,                 2.2764,                 1.1288,                 1.1201,                0.96707,                0.72222,                0.73695,                0.39753,                 1.9047,                 2.2243,                 1.0718,             0.00041446,             0.00041446,             0.00041446
                      4,                 2.2331,                 1.0402,                 1.0934,                0.98728,                0.72222,                0.75188,                0.51681,                 1.3332,                 1.0031,                0.93902,             0.00052793,             0.00052793,             0.00052793
                      5,                 2.2771,                  1.076,                 1.1154,                0.98733,                0.66667,                0.74227,                0.48523,                 1.4312,                0.84458,                0.96574,             0.00062556,             0.00062556,             0.00062556
                      6,                 2.1351,                0.93906,                 1.1039,                0.92812,                0.72222,                0.74684,                0.40495,                 1.7057,                 1.5246,                 1.0403,             0.00070735,             0.00070735,             0.00070735
                      7,                 2.3527,                0.95121,                 1.0617,                 0.6111,                0.72222,                0.61064,                0.34452,                 1.7173,                 2.9072,                 1.0163,              0.0007733,              0.0007733,              0.0007733
                      8,                 2.2565,                0.89053,                 1.0898,                0.92335,                0.72222,                0.75064,                0.40255,                 1.6093,                 1.6586,                  1.035,             0.00082341,             0.00082341,             0.00082341
                      9,                 2.1581,                0.81507,                 1.0547,                0.99322,                0.66667,                0.78875,                  0.369,                 2.0151,                0.99623,                 1.0956,             0.00085768,             0.00085768,             0.00085768
                     10,                 1.9949,                0.86394,                 1.0472,                0.99748,                0.72222,                0.78207,                0.43536,                 1.6036,                0.95846,                 1.0019,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.6675,                0.79217,                 1.0131,                0.99312,                0.72222,                0.77155,                0.28038,                 2.3656,                 1.3004,                 1.2813,              0.0008787,              0.0008787,              0.0008787
                     12,                 1.7457,                0.81176,                0.99641,                0.99171,                0.77778,                0.83494,                0.42014,                 1.7899,                 1.0189,                 1.0609,             0.00086545,             0.00086545,             0.00086545
                     13,                 1.5714,                0.72634,                 1.0028,                0.99207,                0.72222,                0.82041,                0.43363,                 1.8053,                0.75338,                    1.1,               0.000812,               0.000812,               0.000812
                     14,                 1.4856,                0.71188,                0.96755,                0.93287,                0.77237,                0.82148,                0.38442,                 1.8557,                0.75665,                 1.1548,               0.000812,               0.000812,               0.000812
                     15,                 1.4726,                0.70335,                0.98876,                0.99128,                0.72222,                0.82315,                0.38256,                 1.7013,                0.73326,                 1.0208,               0.000713,               0.000713,               0.000713
                     16,                 1.4467,                0.65749,                0.97722,                0.99514,                0.72222,                0.82328,                0.49806,                 1.5062,                0.72542,                0.99141,               0.000614,               0.000614,               0.000614
                     17,                 1.2691,                0.68262,                0.94734,                0.99547,                0.72222,                0.84294,                0.48355,                 1.7453,                0.68107,                 1.0354,               0.000515,               0.000515,               0.000515
                     18,                 1.2894,                0.63456,                 0.9355,                0.99463,                0.72222,                0.84294,                0.52756,                 1.5613,                0.60792,                0.99787,               0.000416,               0.000416,               0.000416
                     19,                 1.2573,                0.60168,                0.96957,                0.99479,                0.72222,                0.84294,                0.57983,                 1.3515,                0.62755,                0.96513,               0.000317,               0.000317,               0.000317
                     20,                 1.2901,                0.66127,                0.92981,                0.99449,                0.72222,                0.84294,                0.53566,                 1.1855,                0.65642,                0.94934,               0.000218,               0.000218,               0.000218
